name
:node_memory_MemAvailable_bytes:sum
ALERTS
ALERTS_FOR_STATE
container_memory_cache
container_memory_max_usage_bytes
container_memory_rss
container_memory_usage_bytes
container_memory_working_set_bytes
container_network_receive_bytes_total
container_network_receive_packets_total
container_network_transmit_bytes_total
container_network_transmit_packets_total
container_oom_events_total
container_processes
container_sockets
container_threads
instance:node_load1_per_cpu:ratio
instance:node_memory_utilisation:ratio
instance:node_network_receive_drop_excluding_lo:rate5m
instance:node_vmstat_pgmajfault:rate5m
instance_device:node_disk_io_time_seconds:rate5m
kube_deployment_status_condition
kube_deployment_status_replicas_ready
kube_deployment_status_replicas_unavailable
kube_endpoint_address_available
kube_horizontalpodautoscaler_status_desired_replicas
namespace_cpu:kube_pod_container_resource_limits:sum
namespace_cpu:kube_pod_container_resource_requests:sum
namespace_memory:kube_pod_container_resource_limits:sum
namespace_memory:kube_pod_container_resource_requests:sum
node:node_cpu_utilization:ratio_rate5m
node_load1
node_load15
node_load5
node_memory_Dirty_bytes
node_memory_Writeback_bytes
node_procs_blocked
node_procs_running
node_quantile:kubelet_pleg_relist_duration_seconds:histogram_quantile
node_sockstat_sockets_used
node_vmstat_oom_kill
node_vmstat_pgfault
node_vmstat_pgmajfault
node_vmstat_pgpgin
node_vmstat_pgpgout
